sentence1,relation,relationscore,structure,structurescore
Storm buries Northeast; 16 inches of snow in NJ,Northeast buries Storm; 16 inches of snow in NJ,3,Northeast buried by storm; NJ receives 16 inches of snow.,5
Jamaican connection in Liverpool's win,Connection Jamaican in Liverpool's win,2,Liverpool's win has Jamaican connection.,4
"International weapons experts leave Syria, Obama to make statement","Weapons experts International leave Syria, Obama to make statement",3,"Leaving Syria, international weapons experts, Obama to make statement.",4
Southwest jet hit nose first,Jet Southwest hit nose first,2,"Nose first, Southwest jet hit.",4
Twelve killed in bomb blast on Pakistani train,Killed Twelve in bomb blast on Pakistani train,2,Bomb blast on Pakistani train kills twelve.,5
Powerful quake strikes off eastern Indonesia,Quake powerful strikes off eastern Indonesia,2,Eastern Indonesia struck by powerful quake.,5
Obama lashes North Korea as pariah state,Obama North Korea lashes as pariah state,2,"As pariah state, Obama lashes North Korea.",4
Colombia strike three times,Strike Colombia three times,2,Three strikes in Colombia.,2
Lord Palumbo offers hope for a relationship with his son James,Palumbo Lord offers hope for a relationship with his son James,4,"Offering hope for a relationship with his son James, Lord Palumbo.",5
Deputy speaker faces new sex claims,Speaker Deputy faces new sex claims,2,"Facing new sex claims, deputy speaker.",5
CIA chief visits Israel for Syria talks,Israel for Syria talks visits CIA chief,3,"For Syria talks, CIA chief visits Israel.",4
"Suicide bomb kills 4, injures 13 in Pakistan","Pakistan kills 4, injures 13 in suicide bomb",3,"In Pakistan, 4 killed and 13 injured by suicide bomb.",4
Ukraine rebels 'flee eastern stronghold','Flee eastern stronghold' Ukraine rebels,3,Eastern stronghold fled by Ukraine rebels.,3
4 foreigners among 9 killed in Kabul hotel attack,Kabul hotel attack kills 4 foreigners among 9,3,"In Kabul hotel attack, 9 killed including 4 foreigners.",5
Firefighters battle forest fire in SW China,SW China firefighters battle forest fire in,3,Forest fire in SW China battled by firefighters.,5
Hassan Rouhani wins Iran's presidential election,Iran's presidential election wins Hassan Rouhani,2,Iran's presidential election won by Hassan Rouhani.,5
Woman remanded over child's death A woman has been remanded in custody charged with murder after an eight-year-old girl was found dead in a block of flats.,A woman has been remanded in custody charged with murder after an eight-year-old girl was found dead in a block of flats. Woman remanded over child's death,4,"Remanded in custody charged with murder, a woman after an eight-year-old girl was found dead in a block of flats.",3
Red-shirt leader calls not to oppose army,Not to oppose army calls red-shirt leader,3,"Not to oppose army, red-shirt leader calls.",5
Russia praises idea to render rights assistance to Ukraine,To render rights assistance to Ukraine Russia praises idea,4,Idea to render rights assistance to Ukraine praised by Russia.,4
Georgian PM's ally to become president - exit poll,To become president - exit poll Georgian PM's ally,4,President to become Georgian PM's ally according to exit poll.,3
Car bombs kill at least 16 in Iraqi capital,At least 16 killed in Iraqi capital by car bombs,4,"At least 16 are killed in Iraqi capital, by car bombs.",5
Saudi Arabia gets a seat at the UN Security Council,A seat at the UN Security Council is given to Saudi Arabia,4,"A seat at the UN Security Council, Saudi Arabia gets.",4
US drone strike kills 11 in Pakistan,11 killed in Pakistan by US drone strike,4,"In Pakistan, 11 are killed by US drone strike.",5
20 killed in bomb attack at Pakistani base,Bomb attack at Pakistani base kills 20,4,A bomb attack at a Pakistani base kills 20 people.,5
Shenzhen stock indices close higher Monday,Stock indices in Shenzhen close higher on Monday,4,"On Monday, Shenzhen stock indices close higher.",4
Prince Harry pays tribute to US war dead,US war dead pays tribute to Prince Harry,1,US war dead are paid tribute to by Prince Harry.,4
"15 dead in Iraq attacks, bomb at football pitch","Bomb at football pitch, Iraq attacks leave 15 dead",4,"At a football pitch, bomb and Iraq attacks leave 15 dead.",4
Myanmar arrests 44 over sectarian violence,44 arrested in Myanmar over sectarian violence,4,"Over sectarian violence, Myanmar arrests 44.",4
Iran official: US visa denial to Iranian envoy will not affect nuke talks,"US visa denial to Iranian envoy will not affect nuke talks, says Iran official",4,"The US visa denial to Iranian envoy, Iran official says, will not affect nuke talks.",4
"Gov'ts, groups pledge millions for typhoon relief",Millions pledged by gov'ts and groups for typhoon relief,4,"For typhoon relief, millions are pledged by gov'ts and groups.",5
Greece suspends state broadcaster,State broadcaster suspends Greece,3,"State broadcaster, Greece suspends.",3
Guatemalan court finds former dictator guilty of genocide,Former dictator found guilty of genocide by Guatemalan court,4,"Former dictator found guilty of genocide, Guatemalan court.",4
Beaten Florida teen released in Israel,Florida teen beaten released in Israel,2,"In Israel, released teen was beaten.",3
"Iran, sextet to resume expert talks","Expert talks to resume sextet, Iran",2,"Expert talks to resume, Iran sextet.",4
"Bangladesh collapse search over; death toll 1,127","Death toll 1,127; search over for Bangladesh collapse",2,"Search over for Bangladesh collapse; death toll 1,127.",5
Neymar powers Brazil into last 16,Brazil powers Neymar into last 16,2,"Brazil into last 16, powered by Neymar.",5
Ukraine to implement unilateral ceasefire,Unilateral ceasefire to be implemented by Ukraine,4,Unilateral ceasefire to be implemented by Ukraine.,4
Stones add second Hyde Park concert,Second Hyde Park concert added by Stones,3,Second Hyde Park concert added by Stones.,5
"What the Papers Say, Aug. 19, 2013","Aug. 19, 2013: What the Papers Say",4,"Aug. 19, 2013, What the Papers Say.",5
5 nations meet on haze,"On haze, 5 nations meet",2,"On haze, 5 nations meet.",5
"Car bomb at Swedish consulate in Libya's Benghazi, no casualties","Car bomb in Libya's Benghazi at Swedish consulate, no casualties",4,"At Swedish consulate in Benghazi, car bomb, no casualties.",5
Bomber strikes near Pakistan army HQ,Bomber near Pakistan army HQ strikes,4,"Near Pakistan army HQ, bomber strikes.",5
Croatia begins countdown to historic EU entry,Countdown to historic EU entry begins in Croatia,4,"Countdown to historic EU entry begins, Croatia.",4
Suicide attack kills eight in Baghdad,Eight killed in suicide attack in Baghdad,4,"In Baghdad, suicide attack kills eight.",5
"Rogers, Videotron extend reach with network-sharing deal","Reach extended with network-sharing deal by Rogers, Videotron",3,"With network-sharing deal, Rogers and Videotron extend reach.",5
Prominent AIDS researchers killed in Malaysian plane crash,Malaysian plane crash kills prominent AIDS researchers,4,"In Malaysian plane crash, prominent AIDS researchers killed.",5
Israel Forces Kill 2 Palestinian Militants,2 Palestinian militants killed by Israel Forces,4,2 Palestinian militants killed by Israel forces.,5
Death toll 'rises to 17' after typhoon strikes Japan,"After typhoon strikes Japan, death toll 'rises to 17'",4,"After typhoon strikes Japan, death toll rises to 17.",4
Protests continue in tense Ukraine capital,"In tense Ukraine capital, protests continue",4,"In tense Ukraine capital, protests continue.",4
Two French journalists killed after Mali kidnapping,Mali kidnapping after French two journalists killed,2,"After Mali kidnapping, two French journalists killed.",5
Headlines in major Iranian newspapers on Dec 14,Major Iranian newspapers on Dec 14 headlines in,2,"On Dec 14, headlines in major Iranian newspapers.",5
Iran warns of spillover of possible war on Syria,Possible war on Syria spillover of warns Iran,2,"Of possible war on Syria, Iran warns of spillover.",5
Former Pakistan President Pervez Musharraf arrested again,Pervez Musharraf arrested again former Pakistan President,2,"Again, former Pakistan President Pervez Musharraf arrested.",4
US drone strike 'kills 4 militants in Pakistan',4 militants in Pakistan 'kills US drone strike',2,"'Kills 4 militants in Pakistan', US drone strike.",3
UK's Ex-Premier Margaret Thatcher Dies At 87,Margaret Thatcher Dies At 87 UK's Ex-Premier,2,"At 87, UK's Ex-Premier Margaret Thatcher dies.",5
Polar bear DNA 'may help fight obesity',DNA 'may help fight obesity' polar bear,2,"'May help fight obesity', polar bear DNA.",4
'Fast &amp; Furious' star Paul Walker dies in car crash,Paul Walker dies in car crash 'Fast & Furious' star,1,"In car crash, 'Fast & Furious' star Paul Walker dies.",5
Air strike kills one man in Syria's Hama,One man in Syria's Hama air strike kills,1,"In Syria's Hama, air strike kills one man.",5
"Turkish PM, president clash over reply to protests","Reply to protests Turkish PM, president clash over",1,"Over reply to protests, Turkish PM, president clash.",4
Strong new quake hits shattered Pak region,Shattered Pak region hits strong new quake,4,Shattered Pak region hit by a strong new quake.,5
Floods in central Europe continue to create havoc,Havoc continues to be created by floods in central Europe,4,"Continue to create havoc, floods in central Europe do.",3
Luxembourg PM quits amid spying scandal,"Amid spying scandal, Luxembourg PM quits",4,"Amid spying scandal, Luxembourg PM quits.",4
"3 dead, 4 missing in central China construction accident","In central China construction accident, 3 dead, 4 missing",3,Central China construction accident leaves 3 dead and 4 missing.,4
"US, China fail to paper over cracks in ties","Cracks in ties cannot be papered over by US, China",2,"Fail to paper over cracks in ties, US and China do.",4
World Cup live: France 0-0 Germany,France 0-0 Germany in World Cup live,4,"France 0-0 Germany, World Cup live is.",4
Tokyo to host 2020 Games,2020 Games to be hosted by Tokyo,4,"Hosting the 2020 Games, Tokyo.",5
France warns of extremists benefiting from Egypt violence,"Extremists benefiting from Egypt violence, France warns",3,Extremists benefiting from Egypt violence warned by France.,3
British teenager killed in fall from Magaluf hotel,"In fall from Magaluf hotel, British teenager killed",4,"In fall from Magaluf hotel, British teenager killed was.",4
US drone strike kills eight in Waziristan,"In Waziristan, US drone strike kills eight",3,Eight killed in Waziristan by US drone strike.,5
Russian opposition leader under house arrest,House arrest under Russian opposition leader,3,"Under house arrest, Russian opposition leader.",3
Senate confirms Janet Yellen as chair of US Federal Reserve,Chair of US Federal Reserve confirms Senate Janet Yellen as,2,"As chair of US Federal Reserve, Janet Yellen, Senate confirms.",3
Israel confirms strike on Syria targeted weapons,Targeted weapons confirms strike on Syria Israel,1,"Targeted weapons, Israel confirms, strike on Syria.",4
Jurors find Jodi Arias eligible for death penalty,Eligible for death penalty find Jodi Arias jurors,2,"Eligible for death penalty, jurors find Jodi Arias.",5
Twitter reports blocking in Venezuela,Blocking in Venezuela reports Twitter,1,"Blocking in Venezuela, Twitter reports.",4
